# Rime user dictionary
#@/db_name	cangjie5
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1278
#@/user_id	d06b849a-f2b9-43d0-a3a2-e519e294079d
a 	日	c=1 d=0.0356146 t=1278
aa 	昌	c=1 d=0.00609675 t=1278
ab 	明	c=8 d=0.831619 t=1278
afmbc 	顯	c=1 d=0.00207043 t=1278
agdi 	時	c=2 d=0.416695 t=1278
ahqm 	星	c=1 d=0.0204453 t=1278
aimvu 	既	c=1 d=0.0119145 t=1278
ana 	間	c=1 d=0.0483156 t=1278
anb 	閒	c=1 d=0.00477195 t=1278
anher 	閣	c=4 d=0.202579 t=1278
anmt 	開	c=3 d=0.322972 t=1278
aphh 	易	c=2 d=0.215242 t=1278
au 	巴	c=1 d=0.0982736 t=1278
ayrf 	景	c=2 d=0.0474977 t=1278
b 	月	c=3 d=0.0335068 t=1278
bahm 	腥	c=1 d=0.551563 t=1278
bau 	肥	c=3 d=0.0303716 t=1278
bbb 	骨	c=1 d=0.00212284 t=1278
bbhwj 	髀	c=1 d=0.198891 t=1278
bbpe 	愛	c=2 d=1.05187 t=1278
bcln 	則	c=1 d=0.00923273 t=1278
bhne 	股	c=1 d=0.0720785 t=1278
bkf 	然	c=1 d=0.0119742 t=1278
bkog 	雞	c=2 d=0.399795 t=1278
bln 	刖	c=1 d=0.00286554 t=1278
bmr 	同	c=1 d=0.0478349 t=1278
bncr 	膽	c=1 d=0.358796 t=1278
bq 	用	c=5 d=1.26512 t=1278
bsmh 	膠	c=2 d=0.106575 t=1278
buav 	眼	c=1 d=0.00425356 t=1278
bucnh 	睇	c=3 d=0.0928453 t=1278
buhjm 	睡	c=1 d=0.97531 t=1278
burvp 	眠	c=1 d=0.980199 t=1278
bvvw 	腦	c=1 d=0.00199922 t=1278
by 	丹	c=1 d=0.142987 t=1278
c 	金	c=5 d=0.462807 t=1278
cav 	銀	c=6 d=0.185658 t=1278
cbbr 	鍋	c=3 d=1.67042 t=1278
cd 	鈢	c=1 d=0.918512 t=1278
chje 	鍛	c=1 d=0.239309 t=1278
chjg 	鍾	c=1 d=0.882497 t=1278
ci 	公	c=6 d=0.366728 t=1278
cii 	錢	c=1 d=0.327915 t=1278
cjig 	鐵	c=5 d=2.65571 t=1278
cnkq 	鍵	c=3 d=0.11531 t=1278
crhr 	鋁	c=2 d=0.294717 t=1278
cta 	錯	c=1 d=0.0103063 t=1278
ctoe 	鑊	c=4 d=1.81999 t=1278
d 	木	c=4 d=0.831662 t=1278
dd 	林	c=1 d=0.0037164 t=1278
ddh 	材	c=1 d=0.0939493 t=1278
dgti 	樹	c=1 d=0.00606634 t=1278
dhe 	板	c=1 d=0.0953692 t=1278
dir 	枱	c=1 d=0.0845849 t=1278
dje 	枝	c=3 d=1.78429 t=1278
djpn 	檸	c=2 d=0.42662 t=1278
dkmr 	椅	c=2 d=0.170563 t=1278
dlbu 	枕	c=1 d=0.423162 t=1278
dllv 	樓	c=23 d=2.3197 t=1278
dlnbc 	賴	c=1 d=0.13466 t=1278
dm 	本	c=2 d=0.0185005 t=1278
dmem 	極	c=1 d=0.148823 t=1278
domo 	檢	c=2 d=0.544315 t=1278
dslc 	櫃	c=1 d=0.145876 t=1278
dtbo 	檬	c=2 d=0.428758 t=1278
dup 	想	c=1 d=0.169483 t=1278
dvii 	機	c=4 d=0.383414 t=1278
dw 	東	c=2 d=0.0390734 t=1278
e 	水	c=1 d=0.0104099 t=1278
ebbb 	滑	c=1 d=0.188247 t=1278
ebcn 	測	c=1 d=0.26054 t=1278
edam 	渣	c=2 d=0.0502077 t=1278
eev 	婆	c=1 d=0.00980366 t=1278
efb 	消	c=2 d=0.464566 t=1278
efh 	沙	c=1 d=0.666977 t=1278
egi 	法	c=1 d=0.00951391 t=1278
